id,PreScreen_Q1,Commitment_Q1,Commitment_Q2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Manipulation_Q1,QD2,QD2_1_TEXT,QD3_1,QD3_2,QD3_3,QD3_4,QD3_5,QD3_6,QD3_7,QD4,QD5,rnum,pi1,pi2,pi3,pi4,pi5,pi6,pi7,rnum_age,age1,age2,first_name1,first_name2,pol_exp1,pol_exp2,career1,career2
22,Yes,"Yes, I will",purple,,,,,Candidate 1,,,,Candidate 1,Age,50,,,,,White,,,No,Male,0.8877502032294288,0,0,0,0,0.5,1,1,0.9662038755990108,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
23,Yes,"Yes, I will",purple,,,,,,,,Candidate 1,Candidate 2,Age,58,,,,,White,,,No,Male,0.5108192932118707,0,0,0,0,0.5,1,1,0.08187650681517006,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
24,Yes,"Yes, I will",purple,,,,,Candidate 1,,,,Candidate 2,Age,42,,,,,White,,,No,Male,0.3491465173077645,0,0,0,0,0.5,1,1,0.19588061915614657,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
25,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 2,Age,29,,,,,White,,,No,Female,0.4743568674834345,0,0,0,0,0.5,1,1,0.1734512567458328,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
26,Yes,"Yes, I will",purple,Candidate 2,,,,,,,,Candidate 1,Age,40,,,,,White,,,No,Male,0.13804339248175812,0,0,0,0,0.5,1,1,0.577485733334321,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
27,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 1,Age,42,,,,,White,,,No,Female,0.3087042752440796,0,0,0,0,0.5,1,1,0.7974313599517177,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
28,Yes,"Yes, I will",purple,,,,,,,Candidate 2,,Candidate 1,Age,41,,,Black or African American,,,,,No,Female,0.6264561954015997,0,0,0,0,0.5,1,1,0.6916216969703375,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
29,Yes,"Yes, I will",purple,,,,,Candidate 1,,,,Candidate 2,Age,36,,,,,White,,,No,Female,0.1609152441753343,0,0,0,0,0.5,1,1,0.1864286219203911,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
30,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 2,Age,31,,Asian,,,,,,Yes,Male,0.6981691056159719,0,0,0,0,0.5,1,1,0.01924337586836036,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
31,Yes,"Yes, I will",purple,,,,,,,,Candidate 1,Candidate 1,Age,66,,,,,,,Prefer not to disclose,Prefer not to disclose,Male,0.7782212586091415,0,0,0,0,0.5,1,1,0.7011725676015886,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
