unique_id,context,context_label,batch_id,batch_type,chose_mother,race,age,female,hispanic
99,4,white_high,0,Warmup,0,White,41,TRUE,FALSE
100,4,white_high,0,Warmup,0,White,41,FALSE,FALSE
101,4,white_high,0,Warmup,0,Asian,35,TRUE,FALSE
102,2,black_high,0,Warmup,0,Multiracial,27,TRUE,FALSE
103,3,white_low,0,Warmup,0,White,51,FALSE,TRUE
104,1,black_low,0,Warmup,0,White,55,FALSE,FALSE
105,1,black_low,0,Warmup,0,White,37,FALSE,FALSE
106,2,black_high,0,Warmup,1,White,46,FALSE,FALSE
107,2,black_high,0,Warmup,0,White,37,FALSE,FALSE
108,3,white_low,0,Warmup,1,Asian,45,TRUE,TRUE
109,3,white_low,0,Warmup,1,White,61,TRUE,FALSE
110,4,white_high,0,Warmup,1,White,66,TRUE,FALSE
111,2,black_high,0,Warmup,0,White,58,FALSE,FALSE
112,2,black_high,0,Warmup,1,White,51,TRUE,FALSE
113,1,black_low,0,Warmup,1,Black or African American,53,FALSE,TRUE
114,2,black_high,0,Warmup,0,White,45,FALSE,TRUE
115,2,black_high,0,Warmup,0,White,45,FALSE,FALSE
116,4,white_high,0,Warmup,0,Asian,34,TRUE,FALSE
117,1,black_low,0,Warmup,1,White,33,TRUE,FALSE
118,4,white_high,0,Warmup,0,White,41,FALSE,FALSE
119,4,white_high,0,Warmup,1,White,44,TRUE,FALSE
120,1,black_low,0,Warmup,1,White,51,TRUE,FALSE
121,2,black_high,0,Warmup,0,White,45,FALSE,FALSE
122,1,black_low,0,Warmup,0,White,31,TRUE,FALSE
123,1,black_low,0,Warmup,0,White,41,TRUE,FALSE
124,3,white_low,0,Warmup,0,Multiracial,63,TRUE,TRUE
125,3,white_low,0,Warmup,0,Multiracial,34,TRUE,FALSE
126,4,white_high,0,Warmup,0,Multiracial,30,TRUE,FALSE
127,2,black_high,0,Warmup,1,White,49,FALSE,FALSE
128,4,white_high,0,Warmup,0,Multiracial,35,TRUE,FALSE
129,4,white_high,0,Warmup,0,Black or African American,28,TRUE,FALSE
130,2,black_high,0,Warmup,0,Multiracial,26,TRUE,FALSE
131,2,black_high,0,Warmup,1,White,59,TRUE,FALSE
132,4,white_high,0,Warmup,0,White,36,FALSE,FALSE
133,3,white_low,0,Warmup,0,White,39,TRUE,FALSE
134,2,black_high,0,Warmup,0,Multiracial,34,TRUE,FALSE
135,2,black_high,0,Warmup,0,White,46,FALSE,FALSE
136,4,white_high,0,Warmup,1,White,60,FALSE,FALSE
137,3,white_low,0,Warmup,1,White,45,FALSE,FALSE
138,4,white_high,0,Warmup,0,White,31,TRUE,FALSE
139,3,white_low,0,Warmup,1,White,44,FALSE,FALSE
140,4,white_high,0,Warmup,1,Black or African American,78,TRUE,TRUE
141,2,black_high,0,Warmup,1,White,55,TRUE,FALSE
142,3,white_low,0,Warmup,0,Asian,38,FALSE,FALSE
143,3,white_low,0,Warmup,1,White,53,FALSE,FALSE
144,2,black_high,0,Warmup,0,White,40,FALSE,FALSE
145,4,white_high,0,Warmup,0,White,59,TRUE,FALSE
146,4,white_high,0,Warmup,1,Asian,53,TRUE,FALSE
147,1,black_low,0,Warmup,0,White,59,TRUE,FALSE
148,2,black_high,0,Warmup,0,Black or African American,32,TRUE,FALSE
149,3,white_low,0,Warmup,0,White,25,TRUE,FALSE
150,1,black_low,0,Warmup,0,Asian,46,TRUE,FALSE
151,1,black_low,0,Warmup,0,Black or African American,48,FALSE,FALSE
152,1,black_low,0,Warmup,1,Other,31,FALSE,TRUE
153,3,white_low,0,Warmup,1,White,30,FALSE,TRUE
154,4,white_high,0,Warmup,0,Multiracial,34,FALSE,TRUE
155,3,white_low,1,Iterative Batch Phase: Max,1,White,60,TRUE,FALSE
156,3,white_low,1,Iterative Batch Phase: Max,1,Black or African American,46,TRUE,FALSE
157,1,black_low,1,Iterative Batch Phase: Max,0,White,49,TRUE,FALSE
158,1,black_low,1,Iterative Batch Phase: Max,0,White,41,FALSE,TRUE
